Satir_No,Timestamp [ns],static_inv_entropy,static_pose_chi2_error,static_culled_keyframes,norm_static_inv_entropy,norm_static_pose_chi2_error,norm_static_culled_keyframes,scaled_norm_static_inv_entropy,scaled_norm_static_pose_chi2_error,scaled_norm_static_culled_keyframes,combined_value,theta_p_raw,theta_p,sigma_p
1,1403636859651666432,0.03255742788314819,1.338535238,0.0,-0.5403960371293085,0.22211586105263156,0.0,-0.5403960371293085,0.22211586105263156,0.0,0.22211586105263156,0.14474694600131835,0.0,1.0
2,1403636859701666560,0.04571777582168579,1.32129691,0.0,-0.5251817620558545,0.21693140150375942,0.0,-0.5251817620558545,0.21693140150375942,0.0,0.21693140150375942,0.1409890264281137,0.0,1.0
3,1403636859751666432,0.04960381984710682,1.434323105,0.0,-0.5206892256102811,0.25092424210526315,0.0,-0.5206892256102811,0.25092424210526315,0.0,0.25092424210526315,0.1659871570015796,0.0,1.0
4,1403636859801666560,0.05504089593887318,1.594827273,0.0,-0.5144035885099733,0.299196172330827,0.0,-0.5144035885099733,0.299196172330827,0.0,0.299196172330827,0.20297845436165074,0.003723067952063411,1.3685837272542778
5,1403636859851666432,0.059653639793395996,1.096313739,0.0,-0.5090709366550336,0.149267289924812,0.0,-0.5090709366550336,0.149267289924812,0.0,0.149267289924812,0.09368851151424415,0.0,1.0
6,1403636859901666560,0.06344664096832275,1.122413021,0.0,-0.5046859641984708,0.1571166980451128,0.0,-0.5046859641984708,0.1571166980451128,0.0,0.1571166980451128,0.09901295308551603,0.0,1.0
7,1403636859951666432,0.06676989793777477,1.375791507,0.0,-0.50084404862685,0.23332075398496238,0.0,-0.50084404862685,0.23332075398496238,0.0,0.23332075398496238,0.15293559753162303,0.0,1.0
8,1403636860001666560,0.07712417840957642,1.538183847,0.0,-0.4888737821854608,0.2821605554887218,0.0,-0.4888737821854608,0.2821605554887218,0.0,0.2821605554887218,0.1897195167444593,0.0,1.0
9,1403636860051666432,0.0779396891593932,1.402346257,0.0,-0.48793099519145294,0.24130714496240602,0.0,-0.48793099519145294,0.24130714496240602,0.0,0.24130714496240602,0.15882839429678153,0.0,1.0
10,1403636860101666560,0.07775640487670898,1.367314892,0.0,-0.48814288453559657,0.23077139609022557,0.0,-0.48814288453559657,0.23077139609022557,0.0,0.23077139609022557,0.15106442919876878,0.0,1.0
11,1403636860151666432,0.07543289661407482,1.339138464,0.0,-0.49082902125540484,0.222297282406015,0.0,-0.49082902125540484,0.222297282406015,0.0,0.222297282406015,0.14487880115026608,0.0,1.0
12,1403636860201666560,0.07172483205795277,1.043545608,0.0,-0.49511580108907194,0.13339717533834589,0.0,-0.49511580108907194,0.13339717533834589,0.0,0.13339717533834589,0.08305026544704322,0.0,1.0
13,1403636860251666432,0.0668489933013916,1.147456908,0.0,-0.5007526089001253,0.16464869413533836,0.0,-0.5007526089001253,0.16464869413533836,0.0,0.16464869413533836,0.1041615297310751,0.0,1.0
14,1403636860301666560,0.05188494920730602,1.250558588,0.0,-0.5180520818412647,0.19565671819548874,0.0,-0.5180520818412647,0.19565671819548874,0.0,0.19565671819548874,0.12577061683056123,0.0,1.0
15,1403636860351666432,0.04497724771499645,1.396593096,0.0,-0.5260378639132989,0.23957687097744357,0.0,-0.5260378639132989,0.23957687097744357,0.0,0.23957687097744357,0.15754770679195784,0.0,1.0
16,1403636860401666560,0.04088091850280762,1.740269528,0.0,-0.5307735046210317,0.3429382039097745,0.0,-0.5307735046210317,0.3429382039097745,0.0,0.3429382039097745,0.2380760110021888,0.047595013752736,5.711906361520864
17,1403636860451666432,0.03667426109313965,1.830414164,0.0,-0.5356366923778733,0.3700493726315789,0.0,-0.5356366923778733,0.3700493726315789,0.0,0.3700493726315789,0.2606127164233819,0.07576589552922737,8.50082365739351
18,1403636860501666560,0.03620612621307362,1.679516451,0.0,-0.5361778887710131,0.32466660180451123,0.0,-0.5361778887710131,0.32466660180451123,0.0,0.32466660180451123,0.22322839200181468,0.029035490002268342,3.874513510224566
19,1403636860551666432,0.036450982093811035,1.48968224,0.0,-0.5358948183886578,0.2675736060150376,0.0,-0.5358948183886578,0.2675736060150376,0.0,0.2675736060150376,0.17854452558693668,0.0,1.0
20,1403636860601666560,0.037015140056609996,1.245404891,0.0,-0.5352426126513179,0.19410673413533833,0.0,-0.5352426126513179,0.19410673413533833,0.0,0.19410673413533833,0.12467446948512204,0.0,1.0
21,1403636860651666432,0.036085546016693226,1.352383379,0.0,-0.5363172878419732,0.22628071548872178,0.0,-0.5363172878419732,0.22628071548872178,0.0,0.22628071548872178,0.1477799558688716,0.0,1.0
22,1403636860701666560,0.036134958267212025,1.17920021,0.0,-0.5362601638529341,0.17419555187969926,0.0,-0.5362601638529341,0.17419555187969926,0.0,0.17419555187969926,0.11074336178572142,0.0,1.0
23,1403636860751666432,0.03628253936767578,1.243805261,0.0,-0.5360895498639586,0.19362564240601507,0.0,-0.5360895498639586,0.19362564240601507,0.0,0.19362564240601507,0.12433458721249209,0.0,1.0
24,1403636860801666560,0.03662306070327759,1.253719357,0.0,-0.535695883580026,0.19660732541353385,0.0,-0.535695883580026,0.19660732541353385,0.0,0.19660732541353385,0.12644372642575408,0.0,1.0
25,1403636860851666432,0.036046862602234,1.166224093,0.0,-0.5363620085523306,0.1702929603007519,0.0,-0.5363620085523306,0.1702929603007519,0.0,0.1702929603007519,0.10804522656355103,0.0,1.0
