Row_No,Timestamp [ns],static_inv_entropy,static_pose_chi2_error,static_culled_keyframes,norm_static_inv_entropy,norm_static_pose_chi2_error,norm_static_culled_keyframes,scaled_norm_static_inv_entropy,scaled_norm_static_pose_chi2_error,scaled_norm_static_culled_keyframes,combined_value,theta_p_raw,theta_p,sigma_p
1,1403638520077829376,0.04629385471344005,0.271577959,-1.0,0.053518907183167694,0.07761743127819548,-0.4630666666666667,0.053518907183167694,0.07761743127819548,-0.4630666666666667,0.07761743127819548,0.04697083605583816,0.0,1.0
2,1403638520127829504,0.046170413494109996,0.290425825,-1.0,0.05337620057122543,0.08328596240601503,-0.4630666666666667,0.05337620057122543,0.08328596240601503,-0.4630666666666667,0.08328596240601503,0.050546168649107,0.0,1.0
3,1403638520177829376,0.046285271644592396,0.242617983,-1.0,0.053508984560222426,0.06890766406015038,-0.4630666666666667,0.053508984560222426,0.06890766406015038,-0.4630666666666667,0.06890766406015038,0.04151663624954531,0.0,1.0
4,1403638520227829504,0.046163976192474365,0.33451944,-1.0,0.05336875860401661,0.09654719999999999,-0.4630666666666667,0.05336875860401661,0.09654719999999999,-0.4630666666666667,0.09654719999999999,0.058990069326238126,0.0,1.0
5,1403638520277829376,0.046346306800842396,0.321941278,-1.0,0.05357954543449988,0.09276429413533833,-0.4630666666666667,0.05357954543449988,0.09276429413533833,-0.4630666666666667,0.09276429413533833,0.056569932809913195,0.0,1.0
6,1403638520327829504,0.046149253845214844,0.305482734,-1.0,0.05335173854938132,0.08781435609022555,-0.4630666666666667,0.05335173854938132,0.08781435609022555,-0.4630666666666667,0.08781435609022555,0.05341697641177992,0.0,1.0
7,1403638520377829376,0.046442270278930775,0.321316497,-1.0,0.05369048587159627,0.09257639007518796,-0.4630666666666667,0.05369048587159627,0.09257639007518796,-0.4630666666666667,0.09257639007518796,0.056449958575897886,0.0,1.0
8,1403638520427829504,0.04631286859512318,0.226169348,-1.0,0.053540888549275356,0.06396070616541352,-0.4630666666666667,0.053540888549275356,0.06396070616541352,-0.4630666666666667,0.06396070616541352,0.03843985755548838,0.0,1.0
9,1403638520477829376,0.04645603895187378,0.239230522,-1.0,0.053706403412570845,0.06788887879699247,-0.4630666666666667,0.053706403412570845,0.06788887879699247,-0.4630666666666667,0.06788887879699247,0.040881753879213396,0.0,1.0
10,1403638520527829504,0.046256542205810436,0.344079782,-1.0,0.053475771336197034,0.09942249082706767,-0.4630666666666667,0.053475771336197034,0.09942249082706767,-0.4630666666666667,0.09942249082706767,0.06083568729096799,0.0,1.0
11,1403638520577829376,0.04656982421875,0.284617984,-1.0,0.053837947073699426,0.08153924330827067,-0.4630666666666667,0.053837947073699426,0.08153924330827067,-0.4630666666666667,0.08153924330827067,0.049442293223485305,0.0,1.0
12,1403638520627829504,0.04626357555389404,0.435043583,-1.0,0.05348390237444398,0.126780024962406,-0.4630666666666667,0.05348390237444398,0.126780024962406,-0.4630666666666667,0.126780024962406,0.07866420956705082,0.0,1.0
13,1403638520677829376,0.046407103538513184,0.363975018,-1.0,0.05364983068036206,0.1054060204511278,-0.4630666666666667,0.05364983068036206,0.1054060204511278,-0.4630666666666667,0.1054060204511278,0.06469350446582192,0.0,1.0
14,1403638520727829504,0.04627573490142822,0.225722792,-1.0,0.053497959423616445,0.06382640360902254,-0.4630666666666667,0.053497959423616445,0.06382640360902254,-0.4630666666666667,0.06382640360902254,0.03835653961988992,0.0,1.0
15,1403638520777829376,0.046417176723480225,0.272337705,-1.0,0.05366147598090199,0.07784592631578946,-0.4630666666666667,0.05366147598090199,0.07784592631578946,-0.4630666666666667,0.07784592631578946,0.047114563868224164,0.0,1.0
16,1403638520827829504,0.046154141426086426,0.327911526,-1.0,0.05335738893189182,0.09455985744360902,-0.4630666666666667,0.05335738893189182,0.09455985744360902,-0.4630666666666667,0.09455985744360902,0.05771751369548527,0.0,1.0
17,1403638520877829376,0.046388864517212025,0.326004349,-1.0,0.053628745106603495,0.09398627037593985,-0.4630666666666667,0.053628745106603495,0.09398627037593985,-0.4630666666666667,0.09398627037593985,0.057350698573568504,0.0,1.0
18,1403638520927829504,0.04612004756927479,0.460731559,-1.0,0.05331797406852577,0.13450573203007518,-0.4630666666666667,0.05331797406852577,0.13450573203007518,-0.4630666666666667,0.13450573203007518,0.08378789432355943,0.0,1.0
19,1403638520977829376,0.04626870155334484,0.285434612,-1.0,0.05348982838536975,0.0817848457142857,-0.4630666666666667,0.05348982838536975,0.0817848457142857,-0.4630666666666667,0.0817848457142857,0.04959739029443893,0.0,1.0
20,1403638521027829504,0.04614126682281483,0.191120191,-1.0,0.05334250499747379,0.053419606315789465,-0.4630666666666667,0.05334250499747379,0.053419606315789465,-0.4630666666666667,0.053419606315789465,0.031934332534161225,0.0,1.0
21,1403638521077829376,0.046403467655181996,0.318465288,-1.0,0.05364562734703121,0.09171888360902256,-0.4630666666666667,0.05364562734703121,0.09171888360902256,-0.4630666666666667,0.09171888360902256,0.05590273823812698,0.0,1.0
22,1403638521127829504,0.04622542858123779,0.229582059,-1.0,0.05343980182802057,0.06498708541353383,-0.4630666666666667,0.05343980182802057,0.06498708541353383,-0.4630666666666667,0.06498708541353383,0.03907696714450417,0.0,1.0
23,1403638521177829376,0.046478271484375,0.368086056,-1.0,0.05373210576228324,0.10664242285714284,-0.4630666666666667,0.05373210576228324,0.10664242285714284,-0.4630666666666667,0.10664242285714284,0.06549354355422418,0.0,1.0
24,1403638521227829504,0.046201467514037975,0.308537252,-1.0,0.053412101172298235,0.08873300812030074,-0.4630666666666667,0.053412101172298235,0.08873300812030074,-0.4630666666666667,0.08873300812030074,0.054000950302154,0.0,1.0
25,1403638521277829376,0.046340227127075195,0.390869643,-1.0,0.05357251690991352,0.1134946294736842,-0.4630666666666667,0.05357251690991352,0.1134946294736842,-0.4630666666666667,0.1134946294736842,0.0699453785158746,0.0,1.0
26,1403638521327829504,0.04617941379547119,0.319777257,-1.0,0.053386605543897334,0.09211346075187969,-0.4630666666666667,0.053386605543897334,0.09211346075187969,-0.4630666666666667,0.09211346075187969,0.05615448054967962,0.0,1.0
27,1403638521377829376,0.04642057418823242,0.319141896,-1.0,0.05366540368581783,0.09192237473684209,-0.4630666666666667,0.05366540368581783,0.09192237473684209,-0.4630666666666667,0.09192237473684209,0.056032554253580516,0.0,1.0
28,1403638521427829504,0.046201348304748424,0.327800205,-1.0,0.05341196335809066,0.09452637744360902,-0.4630666666666667,0.05341196335809066,0.09452637744360902,-0.4630666666666667,0.09452637744360902,0.05769609709149663,0.0,1.0
29,1403638521477829376,0.04646885395050038,0.263064697,-1.0,0.05372121843988483,0.07505705172932331,-0.4630666666666667,0.05372121843988483,0.07505705172932331,-0.4630666666666667,0.07505705172932331,0.045362551417765476,0.0,1.0
30,1403638521527829504,0.046262919902801625,0.376285594,-1.0,0.05348314439630246,0.10910844932330827,-0.4630666666666667,0.05348314439630246,0.10910844932330827,-0.4630666666666667,0.10910844932330827,0.0670921926731886,0.0,1.0
31,1403638521577829376,0.046650052070617565,0.340479859,-1.0,0.05393069603539603,0.0983398072180451,-0.4630666666666667,0.05393069603539603,0.0983398072180451,-0.4630666666666667,0.0983398072180451,0.06014010146576725,0.0,1.0
32,1403638521627829504,0.046347975730895996,0.302082836,-1.0,0.05358147483340578,0.08679183037593985,-0.4630666666666667,0.05358147483340578,0.08679183037593985,-0.4630666666666667,0.08679183037593985,0.052767602089481516,0.0,1.0
33,1403638521677829376,0.04635941982269276,0.236750999,-1.0,0.05359470499733267,0.06714315759398495,-0.4630666666666667,0.05359470499733267,0.06714315759398495,-0.4630666666666667,0.06714315759398495,0.040417448261349284,0.0,1.0
34,1403638521727829504,0.04630082845687877,0.434105268,-1.0,0.053526969314310724,0.126497824962406,-0.4630666666666667,0.053526969314310724,0.126497824962406,-0.4630666666666667,0.126497824962406,0.07847780300363572,0.0,1.0
35,1403638521777829376,0.04664689302444458,0.286902004,-1.0,0.05392704395889547,0.08222616661654134,-0.4630666666666667,0.05392704395889547,0.08222616661654134,-0.4630666666666667,0.08222616661654134,0.04987617865788174,0.0,1.0
36,1403638521827829504,0.04645490646362305,0.2267982,-1.0,0.053705094177598896,0.06414983458646616,-0.4630666666666667,0.053705094177598896,0.06414983458646616,-0.4630666666666667,0.06414983458646616,0.038557207057426116,0.0,1.0
37,1403638521877829376,0.04662060737609863,0.320646666,-1.0,0.05389665592612559,0.09237493714285715,-0.4630666666666667,0.05389665592612559,0.09237493714285715,-0.4630666666666667,0.09237493714285715,0.056321358605921225,0.0,1.0
38,1403638521927829504,0.046552419662475586,0.285697014,-1.0,0.053817826199393744,0.08186376360902256,-0.4630666666666667,0.053817826199393744,0.08186376360902256,-0.4630666666666667,0.08186376360902256,0.049647234759341706,0.0,1.0
39,1403638521977829376,0.04774308204650879,0.462907744,-1.0,0.05519431450463444,0.13516022375939848,-0.4630666666666667,0.05519431450463444,0.13516022375939848,-0.4630666666666667,0.13516022375939848,0.08422377437310058,0.0,1.0
40,1403638522027829504,0.04738414287567139,0.510468716,-1.0,0.05477935592563166,0.1494642754887218,-0.4630666666666667,0.05477935592563166,0.1494642754887218,-0.4630666666666667,0.1494642754887218,0.09382162091818669,0.0,1.0
41,1403638522077829376,0.04832470417022705,0.347132733,-1.0,0.05586671002338387,0.10034067157894737,-0.4630666666666667,0.05586671002338387,0.10034067157894737,-0.4630666666666667,0.10034067157894737,0.06142617630469432,0.0,1.0
42,1403638522127829504,0.0471264123916626,0.405710398,-1.0,0.0544814016088585,0.11795801443609022,-0.4630666666666667,0.0544814016088585,0.11795801443609022,-0.4630666666666667,0.11795801443609022,0.07286166115301138,0.0,1.0
